Quotazioni Fantacalcio Stagione 2026 27,,,,,,,,,,,,
Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
7337,P,Por,Motta,Lazio,1,1,0,1,1,0,1,1
7534,P,Por,Renzetti,Lazio,1,1,0,1,1,0,1,1
2815,P,Por,Terracciano,Milan,1,1,0,1,1,0,1,1
6813,P,Por,Torriani,Milan,1,1,0,1,1,0,1,1
7475,P,Por,Strajnar,Monza,1,1,0,1,1,0,1,1
2845,P,Por,Contini,Napoli,1,1,0,1,1,0,1,1
7048,P,Por,De Marzi,Roma,1,1,0,1,1,0,1,1
610,P,Por,Gollini,Roma,1,1,0,1,1,0,1,1
4518,P,Por,Russo A.,Sassuolo,1,1,0,1,1,0,1,1
4867,P,Por,Turati,Sassuolo,1,1,0,1,1,0,1,1
7457,P,Por,Mascardi,Torino,1,1,0,1,1,0,5,5
5320,P,Por,Paleari,Torino,1,1,0,1,1,0,1,1
7363,P,Por,Siviero,Torino,1,1,0,1,1,0,1,1
543,P,Por,Padelli,Udinese,1,1,0,1,1,0,1,1
5707,P,Por,Piana,Udinese,1,1,0,1,1,0,1,1
6671,P,Por,Grandi,Venezia,1,1,0,1,1,0,1,1
7531,P,Por,Pozzi,Venezia,1,1,0,1,1,0,1,1
2127,P,Por,Satalino,Sassuolo,1,1,0,1,1,0,1,1
7557,P,Por,Penev,Lecce,1,1,0,1,1,0,1,1
7560,P,Por,Pisseri,Frosinone,1,1,0,1,1,0,1,1
3,P,Por,Radunovic,Cagliari,1,1,0,1,1,0,1,1
4957,P,Por,Montipò,Venezia,1,1,0,1,1,0,1,1
4468,P,Por,Bleve,Lecce,1,1,0,1,1,0,1,1
7603,P,Por,Grabara,Juventus,1,1,0,1,1,0,1,1
7611,P,Por,Mrozek,Udinese,1,1,0,1,1,0,1,1
2874,P,Por,Ghidotti,Parma,1,1,0,1,1,0,1,1
7626,P,Por,Pompei,Atalanta,1,1,0,1,1,0,1,1
254,D,E;W,Dimarco,Inter,31,32,-1,29,30,-1,240,240
7181,D,E,Wesley,Roma,18,17,1,17,16,1,87,87
4998,D,E,Molina N.,Roma,18,18,0,18,18,0,78,78
2788,D,Dc,Bremer,Juventus,16,15,1,16,15,1,60,60
2296,D,Dc,Mancini,Roma,16,15,1,16,15,1,50,50
4159,D,Dc,Akanji,Inter,15,16,-1,15,16,-1,47,47
4409,D,Dc,Rrahmani,Napoli,15,14,1,15,14,1,51,51
2120,D,Dc,Bastoni,Inter,14,14,0,14,14,0,43,43
4976,D,Dd;Dc,Kalulu,Juventus,14,13,1,14,14,0,47,49
5022,D,Dc,Pavlovic,Milan,14,14,0,14,14,0,49,49
5833,D,Dc,Gila,Milan,13,12,1,13,12,1,31,31
4317,D,Dc,N'Dicka,Roma,13,13,0,13,13,0,42,42
6956,D,Dc,Solet,Udinese,13,13,0,13,13,0,46,46
6217,D,Dc,Bisseck,Inter,12,11,1,12,11,1,36,36
2514,D,Dc,Stones,Inter,12,12,0,12,12,0,25,25
2816,D,Dd;E,Di Lorenzo,Napoli,12,12,0,12,12,0,39,39
5750,D,Dc,Ostigard,Genoa,11,11,0,11,11,0,41,41
4807,D,Dc,Hermoso,Roma,11,10,1,11,10,1,26,26
5982,D,E,Spence,Inter,11,12,-1,10,11,-1,37,35
5526,D,Dc,Scalvini,Atalanta,10,10,0,10,10,0,28,28
6869,D,Dc,Ramon,Como,10,10,0,10,10,0,31,31
5641,D,Dd;Dc,Chalobah T.,Como,10,9,1,11,10,1,32,34
5885,D,Dd;E,Dodò,Fiorentina,9,10,-1,9,10,-1,20,20
5514,D,Ds;Dc,Vasquez,Genoa,9,9,0,10,10,0,30,33
4994,D,Dd;E,Vojvoda,Udinese,9,8,1,9,8,1,19,19
5555,D,Ds;E,Kamara H.,Udinese,9,6,3,9,6,3,12,12
554,D,Dd;E,Zappacosta,Atalanta,8,8,0,8,8,0,19,19
4734,D,Ds;E,Miranda J.,Bologna,8,8,0,8,8,0,23,23
4657,D,B;Dd;E,Celik,Juventus,8,8,0,9,9,0,16,18
5520,D,Dd;Ds;E,Cambiaso,Juventus,8,9,-1,9,10,-1,18,21
6320,D,Dc,Doekhi,Lazio,8,7,1,8,7,1,16,16
6989,D,Dc,Tiago Gabriel,Lecce,8,7,1,8,7,1,20,20
6496,D,Ds;E,Bartesaghi,Milan,8,8,0,8,8,0,22,22
1852,D,Ds;E,Spinazzola,Napoli,8,8,0,8,8,0,25,25
6664,D,B;Dd;E,Delprato,Parma,8,8,0,8,8,0,21,24
5862,D,Ds;E,Valeri,Parma,8,8,0,8,8,0,22,22
7529,D,Dc,Koulierakis,Roma,8,8,0,8,8,0,15,15
6495,D,Dc,Comuzzo,Torino,8,6,2,8,6,2,13,13
6727,D,Dd;E,Couto,Como,8,8,0,8,8,0,25,25
5675,D,Ds;Dc,Theate,Bologna,8,8,0,9,9,0,20,22
4137,D,Dc,Diego Carlos,Parma,8,8,0,8,8,0,26,26
6046,D,Dc,Hien,Atalanta,7,8,-1,7,8,-1,11,11
6042,D,Dc,Lucumì,Juventus,7,8,-1,7,8,-1,17,17
4433,D,Dd;E,Zortea,Bologna,7,6,1,7,6,1,19,19
4210,D,Dc,Mina,Cagliari,7,8,-1,7,8,-1,20,20
5701,D,B;Ds;E,Obert,Cagliari,7,7,0,7,7,0,15,17
5365,D,Dc,Dragusin,Fiorentina,7,8,-1,7,8,-1,20,20
6531,D,Dd;Ds;E,Jimenez A.,Fiorentina,7,8,-1,8,9,-1,18,21
7469,D,Ds;Dc,Bracaglia,Frosinone,7,5,2,7,5,2,15,17
5620,D,Ds;E,Tavares N.,Lazio,7,6,1,7,6,1,25,25
4401,D,Dc,Gabbia,Milan,7,7,0,7,7,0,15,15
7485,D,Ds;E,Mangas,Monza,7,6,1,7,6,1,15,15
6672,D,Dc,Idzes,Sassuolo,7,7,0,7,7,0,19,19
6642,D,Dc,Coco,Torino,7,7,0,7,7,0,14,14
5010,D,Dc,Ismajli,Torino,7,7,0,7,7,0,13,13
4664,D,Dc,Badiashile,Napoli,7,7,0,7,7,0,18,18
7580,D,Dc,Sutalo J.,Lazio,7,7,0,7,7,0,19,19
7220,D,Dd;E,Belghali,Torino,7,7,0,7,7,0,20,20
2640,D,Ds;Dc,Kolasinac,Atalanta,6,5,1,7,6,1,8,10
4887,D,Dd;E,Bellanova,Atalanta,6,6,0,6,6,0,17,17
7219,D,Ds;E,Bernasconi,Atalanta,6,6,0,6,6,0,18,18
7212,D,Ds;Dc,Heggem,Bologna,6,6,0,6,7,-1,15,17
5678,D,Dd;E,Holm,Bologna,6,5,1,6,5,1,13,13
7414,D,Ds;E,Kaiki,Como,6,7,-1,6,7,-1,13,13
6867,D,Ds;E,Valle,Como,6,6,0,6,6,0,21,21
7410,D,Ds;Dc,Viery,Fiorentina,6,6,0,7,7,0,12,14
4952,D,Dc,Monterisi,Frosinone,6,6,0,6,6,0,13,13
6238,D,Dd;E,Oyono A.,Frosinone,6,5,1,6,5,1,10,10
6660,D,Dc,Marcandalli,Genoa,6,6,0,6,6,0,14,14
4177,D,Dd;Dc,Pavard,Inter,6,6,0,7,7,0,14,16
5877,D,B;Ds;E,Carlos Augusto,Inter,6,7,-1,7,8,-1,20,22
4817,D,Ds;E,Pedraza,Lazio,6,5,1,6,5,1,14,14
2188,D,Dd;Ds;E,Marusic,Lazio,6,6,0,6,6,0,20,23
6990,D,Dd;E,Veiga D.,Lecce,6,5,1,6,5,1,12,12
4502,D,Ds;E,Gallo,Lecce,6,6,0,6,6,0,12,12
4751,D,Dc,Tomori,Milan,6,7,-1,6,7,-1,8,8
6202,D,Dc,Beukema,Napoli,6,6,0,6,6,0,12,12
2724,D,Dc,Buongiorno,Napoli,6,7,-1,6,7,-1,15,15
6485,D,Dd;Dc,Kristensen T.,Atalanta,6,7,-1,7,8,-1,20,22
7329,D,Ds;E,Obrador,Sassuolo,6,6,0,6,6,0,13,13
7069,D,E,Fortini,Torino,6,5,1,5,4,1,12,12
7564,D,Ds;Dc,Leysen F.,Sassuolo,6,5,1,7,6,1,12,14
4705,D,Dc,Balerdi,Roma,6,6,0,6,6,0,11,11
4147,D,Dc,Caleta-Car,Sassuolo,6,6,0,6,6,0,15,15
7621,D,Dd;E,Sugawara,Cagliari,6,6,0,6,6,0,15,15
7532,D,Dc,Kofler,Cagliari,5,5,0,5,5,0,8,8
7274,D,Dd;Dc,Zè Pedro,Cagliari,5,5,0,6,6,0,13,15
6893,D,Dc,Kempf,Como,5,5,0,5,5,0,13,13
7294,D,Ds;Dc,Valdepenas,Fiorentina,5,6,-1,6,7,-1,16,18
7467,D,Dc,Calvani,Frosinone,5,4,1,5,4,1,13,13
6766,D,Ds;Dc,Kelly L.,Juventus,5,5,0,6,6,0,12,14
6632,D,Dc,Gaspar K.,Lecce,5,5,0,5,5,0,12,12
5739,D,Dd;Dc,De Winter,Milan,5,3,2,6,4,2,20,22
5840,D,B;Ds;E,Olivera,Napoli,5,5,0,5,6,-1,13,15
6631,D,Dc,Ghilardi,Roma,5,4,1,5,4,1,10,10
5851,D,Ds;E,Doig,Sassuolo,5,4,1,5,4,1,10,10
7253,D,Dc,Bella-Kotchap,Venezia,5,6,-1,5,6,-1,13,13
4845,D,Dd;Ds;E,Correia T.,Venezia,5,4,1,5,4,1,12,12
5695,D,Ds;E,Haps,Venezia,5,5,0,5,5,0,10,10
5751,D,Dd;E,Patterson,Torino,5,5,0,5,5,0,12,12
2169,D,B;Ds;E,Rodriguez R.,Torino,5,5,0,6,6,0,12,14
5578,D,Dd;Dc,Kossounou,Atalanta,4,3,1,4,3,1,12,12
7068,D,Dc,Vitik,Bologna,4,5,-1,4,5,-1,10,10
7268,D,Ds;Dc,Rodriguez Ju.,Cagliari,4,3,1,5,4,1,14,17
7014,D,Dd;E,Smolcic I.,Como,4,4,0,4,4,0,10,10
5603,D,Dc,Pongracic,Fiorentina,4,4,0,4,4,0,8,8
5449,D,Ds;E,Parisi,Fiorentina,4,5,-1,4,5,-1,10,10
5757,D,Dc,Cittadini,Frosinone,4,3,1,4,3,1,8,8
7537,D,Ds;E,Mitaj,Genoa,4,4,0,4,4,0,10,10
5831,D,Dc,Gatti,Juventus,4,4,0,4,4,0,10,10
7012,D,Dc,Provstgaard,Lazio,4,3,1,4,3,1,13,13
7131,D,Dd;E,Floriani Mussolini,Lazio,4,3,1,4,3,1,10,10
7240,D,Dc,Siebert,Lecce,4,4,0,4,4,0,12,12
5838,D,Dd;Ds;E,Birindelli,Monza,4,4,0,5,5,0,12,14
5307,D,Dc,Valenti,Parma,4,4,0,4,4,0,10,10
6986,D,B;Dd;E,Rensch,Roma,4,5,-1,6,6,0,14,16
4374,D,Dd;Dc,Walukiewicz,Sassuolo,4,4,0,4,4,0,10,12
7526,D,Dc,Comert,Torino,4,4,0,4,4,0,12,12
4263,D,Dc,Kabasele,Udinese,4,4,0,4,4,0,12,12
5820,D,Dd;Ds;Dc,Bertola,Udinese,4,4,0,6,6,0,10,13
5527,D,Dd;E,Zanoli,Udinese,4,4,0,4,4,0,10,10
7312,D,Ds;E,Arizala,Udinese,4,4,0,4,4,0,8,8
6890,D,Dc,Moreno M.,Venezia,4,5,-1,4,5,-1,6,6
6821,D,Dd;E,Hainaut,Venezia,4,3,1,4,3,1,12,12
4375,D,Ds;E,Terzic,Frosinone,4,4,0,4,4,0,8,8
7563,D,Dd;Ds;E,Favasuli,Napoli,4,4,0,4,5,-1,11,13
256,D,Ds;Dc,Juan Jesus,Venezia,4,4,0,5,5,0,10,12
6047,D,Dd;E,Ehizibue,Genoa,4,4,0,4,4,0,10,10
5498,D,Dc,Casale,Bologna,3,3,0,3,3,0,5,5
7326,D,Dd;Dc,Helland,Bologna,3,2,1,3,2,1,12,12
7125,D,Ds;E,Idrissi R.,Cagliari,3,3,0,3,3,0,3,3
4378,D,Ds;Dc,Ranieri L.,Fiorentina,3,3,0,3,3,0,10,12
7175,D,Dd;E,Joao Mario,Fiorentina,3,3,0,3,3,0,12,12
7540,D,Dc,Akpoguma,Frosinone,3,3,0,3,3,0,6,6
5273,D,Ds;E,Estupinan,Milan,3,3,0,3,3,0,13,13
6659,D,Dc,Lucchesi,Monza,3,4,-1,3,4,-1,11,11
7238,D,Dd;Dc,Kouadio,Monza,3,3,0,3,3,0,14,10
4925,D,Ds;Dc,Carboni A.,Monza,3,3,0,4,4,0,9,11
7235,D,Dc,Troilo,Parma,3,3,0,3,3,0,14,14
7255,D,Dd;Ds;E,Britschgi,Parma,3,3,0,4,4,0,10,12
6985,D,Ds;Dc,Candè,Sassuolo,3,3,0,3,3,0,7,8
6925,D,Dc,Palma,Udinese,3,2,1,3,2,1,11,11
5994,D,Ds;Dc,Ebosse,Udinese,3,2,1,3,2,1,5,5
7538,D,Dc,Halhal,Venezia,3,4,-1,3,4,-1,10,10
6892,D,Dc,Schingtienne,Venezia,3,3,0,3,3,0,10,10
6673,D,Ds;Dc,Sverko,Venezia,3,3,0,3,3,0,7,7
7478,D,B;Ds;E,Franjic,Venezia,3,2,1,3,2,1,7,7
7154,D,Dc,Odenthal,Sassuolo,3,1,2,3,1,2,8,8
7605,D,Dd;E,Tchato,Frosinone,3,3,0,3,3,0,8,8
6601,D,Dd;Dc,Kambwala,Como,3,3,0,4,4,0,8,9
5742,D,Dd;Ds;E,Drameh,Genoa,3,3,0,4,4,0,10,12
7483,D,Ds;E,Alhassane,Bologna,2,2,0,2,2,0,6,6
6896,D,Dd;E,Van Der Brempt,Sassuolo,2,2,0,2,2,0,11,11
6977,D,Dc,Otoa,Genoa,2,2,0,2,2,0,5,5
7413,D,Ds;E,Puczka,Genoa,2,2,0,2,2,0,3,3
791,D,Dd;Ds;E,Sabelli,Genoa,2,2,0,2,2,0,5,5
2263,D,Dd;E,Lazzari,Lazio,2,2,0,2,2,0,5,5
2728,D,Ds;E,Pellegrini Lu.,Lazio,2,2,0,2,2,0,7,7
6883,D,Dc,Jean,Lecce,2,2,0,2,2,0,4,4
7182,D,Ds;E,Ndaba,Lecce,2,1,1,2,1,1,5,5
7525,D,Ds;Dc,Diawara S.,Milan,2,2,0,2,2,0,4,4
7476,D,Dd;E,Bakoune,Monza,2,1,1,2,1,1,4,4
6638,D,Dc,Marin R.,Napoli,2,2,0,2,2,0,8,8
7202,D,Dc,Ndiaye,Parma,2,1,1,2,1,1,8,8
252,D,B;Ds;E,Biraghi,Torino,2,2,0,2,2,0,5,6
6021,D,Dd;Dc,Abankwah,Udinese,2,1,1,2,1,1,10,12
6681,D,Dd;E,Sagrado,Venezia,2,2,0,2,2,0,4,4
7548,D,Ds;E,Aurelio,Cagliari,2,2,0,2,2,0,5,5
6537,D,Dd;Dc,Goglichidze,Monza,2,2,0,3,3,0,5,7
7573,D,Dd;E,Cinquegrano,Sassuolo,2,1,1,2,1,1,4,4
5812,D,B;Dd;Ds,Terracciano F.,Milan,2,2,0,3,3,0,4,7
7599,D,E,Lulli,Roma,2,1,1,2,1,1,10,10
7615,D,Dc,Drobnic,Parma,2,1,1,2,1,1,1,1
487,D,Dd;E,De Silvestri,Bologna,1,1,0,1,1,0,4,4
418,D,Dc,Goldaniga,Como,1,1,0,1,1,0,1,1
5424,D,Dc,Amey,Frosinone,1,1,0,1,1,0,1,1
294,D,Dc,Rugani,Juventus,1,1,0,1,1,0,3,3
6039,D,B;Ds;E,Cabal,Juventus,1,1,0,1,1,0,4,4
327,D,Dd;Dc,Patric,Lazio,1,1,0,1,1,0,1,1
5399,D,Dc,Antov,Monza,1,1,0,1,1,0,2,2
6809,D,Dc,Marianucci,Napoli,1,1,0,1,1,0,3,3
5481,D,Dd;Ds;E,Mazzocchi,Venezia,1,1,0,1,1,0,10,12
6149,D,Ds;E,Carboni F.,Parma,1,1,0,1,1,0,3,3
7260,D,Dc,Ziolkowski,Monza,1,1,0,1,1,0,8,8
7156,D,Ds;E,Pieragnolo,Sassuolo,1,1,0,1,1,0,1,1
7454,D,Ds;Dc,Gomes,Venezia,1,1,0,1,1,0,1,1
7553,D,Dc,Omar Fayed,Frosinone,1,1,0,1,1,0,1,1
7604,D,Ds;Dc,Maye,Monza,1,1,0,1,1,0,1,1
6826,D,Dd;E,Dembelè A.,Lecce,1,1,0,1,1,0,2,2
6875,C,T;A,Paz N.,Como,29,30,-1,27,28,-1,245,245
2194,C,M;C,Calhanoglu,Inter,28,27,1,29,28,1,243,273
4777,C,C;T,McTominay,Napoli,27,28,-1,27,28,-1,220,220
2167,C,W;A,Orsolini,Bologna,25,26,-1,24,25,-1,177,177
2423,C,T;A,Pulisic,Milan,24,25,-1,22,23,-1,150,150
2379,C,C;T,Rabiot,Milan,23,22,1,23,22,1,145,145
7126,C,T,Baturina,Como,20,19,1,19,18,1,105,104
7556,C,T,Mora,Roma,20,19,1,19,18,1,100,100
5559,C,C;T,Da Cunha,Como,18,18,0,18,18,0,87,87
1870,C,C,Barella,Inter,18,17,1,18,17,1,81,81
2766,C,T;A,Zaniolo,Udinese,18,18,0,17,17,0,80,80
4973,C,C;T,McKennie,Juventus,17,17,0,17,17,0,70,70
2517,C,T,De Bruyne,Napoli,17,15,2,16,14,2,108,108
632,C,W;A,Zaccagni,Lazio,16,16,0,15,15,0,87,84
6908,C,C;T,Atta,Fiorentina,15,17,-2,15,17,-2,78,78
5119,C,C;T,Samardzic,Atalanta,13,12,1,13,12,1,44,44
6884,C,W;A,Conceicao,Juventus,13,12,1,12,11,1,68,68
7314,C,C;T,Taylor K.,Lazio,13,13,0,13,13,0,53,53
5687,C,T,Vlasic,Torino,13,14,-1,12,13,-1,73,73
5792,C,M;C,Ederson D.S.,Atalanta,12,12,0,13,13,0,46,51
5800,C,T;A,Gudmundsson A.,Lazio,12,13,-1,11,12,-1,40,40
152,C,C,Zielinski,Inter,12,10,2,12,10,2,45,45
2606,C,M;C,Modric,Milan,12,12,0,13,13,0,45,50
6684,C,C;T,Ekkelenkamp,Udinese,12,10,2,12,10,2,57,57
5172,C,C,Jones C.,Inter,12,12,0,12,12,0,47,47
4179,C,W;A,Gonzalez N.,Juventus,12,11,1,11,10,1,45,45
1850,C,C,Kessiè,Atalanta,12,12,0,12,12,0,47,47
7625,C,W;T,Goncalves P.,Fiorentina,12,12,0,12,12,0,50,50
7129,C,W;A,Rodriguez Je.,Como,11,12,-1,10,11,-1,31,31
5823,C,T,Baldanzi,Genoa,11,11,0,10,10,0,28,25
7436,C,W;T,Alajbegovic,Juventus,11,12,-1,11,12,-1,42,42
4892,C,E;W,Saelemaekers,Milan,11,10,1,12,11,1,35,35
7078,C,W;T,Mastantuono,Fiorentina,11,12,-1,11,12,-1,50,50
6372,C,E;W,Moreira,Milan,11,12,-1,11,12,-1,45,45
184,C,W;T,Bernardeschi,Bologna,10,9,1,10,9,1,27,27
6844,C,W;T,Rowe,Atalanta,10,11,-1,10,11,-1,40,42
6151,C,M;C,Perrone,Como,10,10,0,11,11,0,34,39
2848,C,C;T,Frattesi,Lazio,10,7,3,10,7,3,75,75
4220,C,C,Zambo Anguissa,Napoli,10,11,-1,10,11,-1,41,41
7223,C,W;T,Vergara,Napoli,10,8,2,10,8,2,35,35
5589,C,M;C,Konè M.,Roma,10,10,0,11,11,0,42,45
5844,C,C;T,Thorstvedt,Sassuolo,10,10,0,10,10,0,39,39
6274,C,E;C,Diouf,Inter,9,8,1,10,9,1,43,45
7070,C,C,Sucic P.,Inter,9,8,1,9,8,1,21,21
827,C,M;C,Locatelli,Juventus,9,8,1,10,9,1,33,38
5562,C,C,Thuram K.,Juventus,9,10,-1,9,10,-1,25,25
5500,C,W;A,Cancellieri,Lazio,9,9,0,8,8,0,25,25
6398,C,W;A,Isaksen,Lazio,9,9,0,8,8,0,22,22
5878,C,T,Colpani,Monza,9,8,1,8,7,1,15,13
536,C,W,Politano,Napoli,9,10,-1,8,9,-1,37,37
779,C,M;C,Cristante,Roma,9,8,1,10,9,1,29,32
5735,C,W;T,Volpato,Sassuolo,9,7,2,9,7,2,25,25
5888,C,C;T,Casadei,Torino,9,10,-1,9,10,-1,27,27
530,C,C;T,Pellegrini Lo.,Roma,9,10,-1,9,10,-1,20,20
2077,C,C;T,Pasalic,Atalanta,8,9,-1,8,9,-1,22,22
2765,C,T,Odgaard,Bologna,8,8,0,7,7,0,17,15
4436,C,W;A,Cambiaghi,Bologna,8,8,0,7,7,0,25,25
1933,C,C,Mandragora,Torino,8,9,-1,8,9,-1,23,23
7472,C,M;C,Calò,Frosinone,8,7,1,9,8,1,27,32
4856,C,E;W,Chukwueze,Milan,8,6,2,7,5,2,22,20
4287,C,M;C,Lobotka,Napoli,8,7,1,9,8,1,23,28
6717,C,C,Konè I.,Sassuolo,8,9,-1,8,9,-1,20,20
7551,C,W;T,Schmid,Frosinone,8,8,0,8,8,0,25,25
7618,C,W;A,Hutchinson,Milan,8,8,0,7,7,0,25,22
6833,C,W;A,Mbangula,Bologna,8,8,0,8,8,0,28,28
4364,C,M;C,Gaetano,Atalanta,7,7,0,8,8,0,30,35
5422,C,W,Zalewski,Atalanta,7,6,1,6,5,1,18,15
5858,C,M;C,Ferguson,Bologna,7,7,0,8,8,0,23,27
4870,C,M;C,Adopo,Cagliari,7,6,1,8,7,1,13,16
7311,C,M;C,Romano,Cagliari,7,5,2,8,6,2,21,26
4465,C,M;C,Fagioli,Fiorentina,7,8,-1,8,9,-1,20,25
6294,C,C,Ndour,Fiorentina,7,8,-1,7,8,-1,22,22
5791,C,M;C,Frendrup,Genoa,7,7,0,8,8,0,19,24
5685,C,C;T,Koopmeiners,Juventus,7,5,2,7,5,2,15,15
4459,C,M;C,Rovella,Lazio,7,6,1,8,7,1,16,19
5504,C,M;C,Coulibaly L.,Lecce,7,6,1,8,7,1,17,22
6593,C,C,Akinsanmiro,Monza,7,6,1,7,6,1,11,11
6666,C,C,Bernabè,Parma,7,7,0,7,7,0,34,34
6190,C,C,Pisilli,Roma,7,5,2,7,5,2,19,19
6680,C,M;C,Karlstrom,Udinese,7,6,1,8,7,1,20,23
6783,C,T,Unai Gomez,Udinese,7,7,0,6,6,0,16,14
5946,C,M;C,Sow,Genoa,7,7,0,8,8,0,15,20
4479,C,W;T,Elmas,Atalanta,7,7,0,7,7,0,22,22
7619,C,W;A,Monteiro J.,Lecce,7,7,0,6,6,0,23,23
5680,C,M;C,Sarr P.,Juventus,7,7,0,8,8,0,25,27
795,C,W,El Shaarawy,Genoa,7,7,0,6,6,0,25,23
5298,C,M;C,Pobega,Bologna,6,6,0,7,7,0,12,15
4260,C,M;C,Winks,Cagliari,6,6,0,7,7,0,15,20
6010,C,C;T,Fazzini,Cagliari,6,7,-1,7,8,-1,23,23
7412,C,M;C,Milla,Como,6,5,1,6,5,1,30,35
5036,C,C;T,Caqueret,Como,6,6,0,6,6,0,17,17
6678,C,T,Liberali,Como,6,6,0,5,5,0,21,20
7464,C,M;C,Oulai,Fiorentina,6,6,0,7,7,0,18,23
5998,C,W,Zerbin,Frosinone,6,5,1,5,4,1,12,10
6020,C,E;C,Ellertsson,Genoa,6,6,0,7,7,0,16,19
5761,C,W,Zhegrova,Juventus,6,6,0,5,5,0,17,17
6549,C,W,Pierotti,Lecce,6,6,0,5,5,0,19,17
2741,C,M;C,Pessina,Monza,6,7,-1,7,8,-1,15,20
4349,C,M;C,Nicolussi Caviglia,Parma,6,6,0,6,7,-1,16,21
2528,C,M;C,Matic,Sassuolo,6,5,1,6,6,0,15,17
6677,C,C;T,Adzic,Sassuolo,6,5,1,6,5,1,16,16
7036,C,C;T,Bakola,Sassuolo,6,5,1,6,5,1,14,14
7060,C,E;W,Cacciamani,Torino,6,5,1,7,6,1,24,24
6218,C,W;T,Oristanio,Torino,6,7,-1,6,7,-1,12,14
7198,C,M;C,Piotrowski,Udinese,6,5,1,7,6,1,15,17
5674,C,M;C,Basic,Venezia,6,6,0,7,7,0,19,20
7146,C,E;M,Tourè I.,Monza,6,6,0,7,8,-1,14,17
7624,C,C,Braganca,Torino,6,6,0,6,6,0,20,20
7528,C,M;C,Amondarain,Bologna,5,5,0,6,6,0,10,13
6640,C,W,Felici,Cagliari,5,5,0,4,4,0,7,7
7409,C,W;T,Meichtry,Genoa,5,5,0,5,5,0,11,13
5301,C,E;W,Luis Henrique,Inter,5,4,1,6,5,1,12,14
6629,C,C;T,Dele-Bashiru,Lazio,5,5,0,5,5,0,13,13
7203,C,M;C,Jashari,Milan,5,4,1,5,4,1,13,13
6898,C,M;C,Keita M.,Parma,5,5,0,6,6,0,15,17
7535,C,M;C,Fitz-Jim,Torino,5,4,1,6,5,1,18,23
6170,C,M;C,Gineitis,Torino,5,5,0,6,6,0,12,15
5507,C,M;C,Busio,Venezia,5,5,0,6,6,0,14,17
5319,C,C,Sohm,Venezia,5,5,0,5,5,0,11,11
6994,C,C;T,Perez K.,Venezia,5,5,0,5,5,0,15,15
